2018-06-22 17:29:37.710 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 17:29:37.734 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 17:29:37.735 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 17:29:37.736 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 17:29:37.737 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622172937_patchInfo.xlsx
2018-06-22 17:29:38.292 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - 送测清单生成失败！
2018-06-22 17:29:38.293 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始TELLER抽取增量判断...
2018-06-22 17:29:38.294 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - fileFullName:nullpatchInfoFile/RUNALL/app_20180622.txt
2018-06-22 17:29:38.294 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - 解析后清单数目: 0
2018-06-22 17:30:46.504 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 17:30:46.991 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - svn: E180001: Unable to open repository 'file:///D:/MyWorkSpace/chongqing/svn_repo'
svn: E180001: Unable to connect to a repository at URL 'file:///D:/MyWorkSpace/chongqing/svn_repo'
svn: E180001: Unable to open repository 'file:///D:/MyWorkSpace/chongqing/svn_repo'
2018-06-22 17:30:46.992 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 17:30:47.020 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 17:30:47.021 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 17:30:47.023 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 17:30:47.024 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622173047_patchInfo.xlsx
2018-06-22 17:30:47.510 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - 送测清单生成失败！
2018-06-22 17:30:47.511 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始TELLER抽取增量判断...
2018-06-22 17:30:47.511 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - fileFullName:nullpatchInfoFile/RUNALL/app_20180622.txt
2018-06-22 17:30:47.512 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - 解析后清单数目: 0
2018-06-22 17:31:51.370 [main] INFO  c.dcits.patchtools.svn.service.impl.SvnServiceImpl - 从SVN服务端获取日志记录...
2018-06-22 17:31:52.222 [main] INFO  com.dcits.patchtools.svn.dao.SvnDao - 当前抽取增量版本号区间为：v0 - v2
2018-06-22 17:31:52.222 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成增量清单...
2018-06-22 17:31:52.247 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - nullpatchInfoFile\20180622_0-E_patchInfo.xml
2018-06-22 17:31:52.247 [main] INFO  com.dcits.patchtools.svn.util.XmlUtil - 增量清单生成失败！
2018-06-22 17:31:52.248 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始生成送测清单...
2018-06-22 17:31:52.249 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - nullpatchInfoFile\送测清单_0-E_20180622173152_patchInfo.xlsx
2018-06-22 17:31:52.724 [main] INFO  com.dcits.patchtools.svn.util.ExcelUtil - 送测清单生成失败！
2018-06-22 17:31:52.726 [main] INFO  c.d.patchtools.svn.service.impl.PatchServiceImpl - 开始TELLER抽取增量判断...
2018-06-22 17:31:52.727 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - fileFullName:nullpatchInfoFile/RUNALL/app_20180622.txt
2018-06-22 17:31:52.727 [main] INFO  com.dcits.patchtools.svn.util.TellerUtil - 解析后清单数目: 1
2018-06-22 17:31:52.729 [main] INFO  com.dcits.patchtools.svn.util.FileUtil - nullpatchInfoFile\RUNALL\app_20180622.txt (系统找不到指定的路径。) : null
